order_id,product_id,date,demand,inventory_level,warehouse_location,aisle_number,picking_time,reorder_point,lead_time_days,unit_price,category,day_of_week,month,is_weekend,rolling_avg_7d
ORD1000,P001,2023-01-01,89,152,Zone-E,15,6.76,132,7,367.34,Tools,6,1,1,89.0
ORD1001,P001,2023-01-02,74,101,Zone-E,15,17.24,132,7,367.34,Tools,0,1,0,81.5
ORD1002,P001,2023-01-03,67,54,Zone-E,15,14.34,132,7,367.34,Tools,1,1,0,76.67
ORD1003,P001,2023-01-04,68,11,Zone-E,15,13.08,132,7,367.34,Tools,2,1,0,74.5
ORD1004,P001,2023-01-05,62,0,Zone-E,15,11.4,132,7,367.34,Tools,3,1,0,72.0
ORD1005,P001,2023-01-06,68,0,Zone-E,15,19.15,132,7,367.34,Tools,4,1,0,71.33
ORD1006,P001,2023-01-07,80,0,Zone-E,15,8.7,132,7,367.34,Tools,5,1,1,72.57
ORD1007,P001,2023-01-08,80,0,Zone-E,15,19.27,132,7,367.34,Tools,6,1,1,71.29
ORD1008,P001,2023-01-09,77,0,Zone-E,15,8.3,132,7,367.34,Tools,0,1,0,71.71
ORD1009,P001,2023-01-10,71,0,Zone-E,15,6.18,132,7,367.34,Tools,1,1,0,72.29
ORD1010,P001,2023-01-11,72,0,Zone-E,15,10.11,132,7,367.34,Tools,2,1,0,72.86
ORD1011,P001,2023-01-12,75,0,Zone-E,15,9.12,132,7,367.34,Tools,3,1,0,74.71
ORD1012,P001,2023-01-13,76,0,Zone-E,15,12.68,132,7,367.34,Tools,4,1,0,75.86
ORD1013,P001,2023-01-14,77,0,Zone-E,15,8.34,132,7,367.34,Tools,5,1,1,75.43
ORD1014,P001,2023-01-15,75,0,Zone-E,15,10.21,132,7,367.34,Tools,6,1,1,74.71
ORD1015,P001,2023-01-16,70,0,Zone-E,15,8.81,132,7,367.34,Tools,0,1,0,73.71
ORD1016,P001,2023-01-17,70,0,Zone-E,15,16.46,132,7,367.34,Tools,1,1,0,73.57
ORD1017,P001,2023-01-18,73,0,Zone-E,15,11.33,132,7,367.34,Tools,2,1,0,73.71
ORD1018,P001,2023-01-19,74,0,Zone-E,15,7.19,132,7,367.34,Tools,3,1,0,73.57
ORD1019,P001,2023-01-20,75,0,Zone-E,15,13.03,132,7,367.34,Tools,4,1,0,73.43
ORD1020,P001,2023-01-21,86,0,Zone-E,15,10.82,132,7,367.34,Tools,5,1,1,74.71
ORD1021,P001,2023-01-22,94,0,Zone-E,15,14.19,132,7,367.34,Tools,6,1,1,77.43
ORD1022,P001,2023-01-23,69,0,Zone-E,15,7.01,132,7,367.34,Tools,0,1,0,77.29
ORD1023,P001,2023-01-24,69,0,Zone-E,15,11.72,132,7,367.34,Tools,1,1,0,77.14
ORD1024,P001,2023-01-25,66,0,Zone-E,15,8.68,132,7,367.34,Tools,2,1,0,76.14
ORD1025,P001,2023-01-26,70,0,Zone-E,15,15.84,132,7,367.34,Tools,3,1,0,75.57
ORD1026,P001,2023-01-27,70,0,Zone-E,15,17.48,132,7,367.34,Tools,4,1,0,74.86
ORD1027,P001,2023-01-28,83,0,Zone-E,15,10.47,132,7,367.34,Tools,5,1,1,74.43
ORD1028,P001,2023-01-29,85,0,Zone-E,15,14.99,132,7,367.34,Tools,6,1,1,73.14
ORD1029,P001,2023-01-30,73,0,Zone-E,15,14.61,132,7,367.34,Tools,0,1,0,73.71
ORD1030,P001,2023-01-31,75,0,Zone-E,15,19.12,132,7,367.34,Tools,1,1,0,74.57
ORD1031,P001,2023-02-01,80,0,Zone-E,15,16.27,132,7,367.34,Tools,2,2,0,76.57
ORD1032,P001,2023-02-02,83,0,Zone-E,15,6.55,132,7,367.34,Tools,3,2,0,78.43
ORD1033,P001,2023-02-03,77,0,Zone-E,15,11.77,132,7,367.34,Tools,4,2,0,79.43
ORD1034,P001,2023-02-04,87,0,Zone-E,15,13.6,132,7,367.34,Tools,5,2,1,80.0
ORD1035,P001,2023-02-05,85,0,Zone-E,15,18.25,132,7,367.34,Tools,6,2,1,80.0
ORD1036,P001,2023-02-06,73,0,Zone-E,15,8.74,132,7,367.34,Tools,0,2,0,80.0
ORD1037,P001,2023-02-07,68,0,Zone-E,15,7.04,132,7,367.34,Tools,1,2,0,79.0
ORD1038,P001,2023-02-08,72,0,Zone-E,15,14.43,132,7,367.34,Tools,2,2,0,77.86
ORD1039,P001,2023-02-09,74,0,Zone-E,15,14.55,132,7,367.34,Tools,3,2,0,76.57
ORD1040,P001,2023-02-10,78,0,Zone-E,15,11.62,132,7,367.34,Tools,4,2,0,76.71
ORD1041,P001,2023-02-11,89,0,Zone-E,15,13.28,132,7,367.34,Tools,5,2,1,77.0
ORD1042,P001,2023-02-12,83,0,Zone-E,15,14.74,132,7,367.34,Tools,6,2,1,76.71
ORD1043,P001,2023-02-13,75,0,Zone-E,15,17.04,132,7,367.34,Tools,0,2,0,77.0
ORD1044,P001,2023-02-14,64,0,Zone-E,15,15.35,132,7,367.34,Tools,1,2,0,76.43
ORD1045,P001,2023-02-15,79,0,Zone-E,15,10.56,132,7,367.34,Tools,2,2,0,77.43
ORD1046,P001,2023-02-16,76,0,Zone-E,15,15.49,132,7,367.34,Tools,3,2,0,77.71
ORD1047,P001,2023-02-17,79,0,Zone-E,15,6.88,132,7,367.34,Tools,4,2,0,77.86
ORD1048,P001,2023-02-18,83,0,Zone-E,15,12.71,132,7,367.34,Tools,5,2,1,77.0
ORD1049,P001,2023-02-19,83,0,Zone-E,15,8.0,132,7,367.34,Tools,6,2,1,77.0
ORD1050,P001,2023-02-20,77,0,Zone-E,15,9.76,132,7,367.34,Tools,0,2,0,77.29
ORD1051,P001,2023-02-21,80,0,Zone-E,15,14.56,132,7,367.34,Tools,1,2,0,79.57
ORD1052,P001,2023-02-22,80,0,Zone-E,15,19.31,132,7,367.34,Tools,2,2,0,79.71
ORD1053,P001,2023-02-23,88,0,Zone-E,15,15.07,132,7,367.34,Tools,3,2,0,81.43
ORD1054,P001,2023-02-24,74,0,Zone-E,15,10.97,132,7,367.34,Tools,4,2,0,80.71
ORD1055,P001,2023-02-25,94,0,Zone-E,15,19.28,132,7,367.34,Tools,5,2,1,82.29
ORD1056,P001,2023-02-26,96,0,Zone-E,15,17.28,132,7,367.34,Tools,6,2,1,84.14
ORD1057,P001,2023-02-27,77,0,Zone-E,15,12.86,132,7,367.34,Tools,0,2,0,84.14
ORD1058,P001,2023-02-28,83,0,Zone-E,15,15.15,132,7,367.34,Tools,1,2,0,84.57
ORD1059,P001,2023-03-01,81,0,Zone-E,15,15.6,132,7,367.34,Tools,2,3,0,84.71
ORD1060,P001,2023-03-02,76,0,Zone-E,15,8.35,132,7,367.34,Tools,3,3,0,83.0
ORD1061,P001,2023-03-03,84,0,Zone-E,15,11.37,132,7,367.34,Tools,4,3,0,84.43
ORD1062,P001,2023-03-04,97,0,Zone-E,15,10.6,132,7,367.34,Tools,5,3,1,84.86
ORD1063,P001,2023-03-05,90,0,Zone-E,15,8.82,132,7,367.34,Tools,6,3,1,84.0
ORD1064,P001,2023-03-06,88,0,Zone-E,15,14.91,132,7,367.34,Tools,0,3,0,85.57
ORD1065,P001,2023-03-07,81,0,Zone-E,15,19.26,132,7,367.34,Tools,1,3,0,85.29
